,node_id,node_index,iteration,current_vector
  (61952, 0)	0.012345679012345678
  (64381, 0)	0.0030864197530864196"
50,5455825177,45393,1,"  (52154, 0)	0.5
  (52156, 0)	0.5"
51,5455825177,45393,2,"  (33725, 0)	0.25
  (52153, 0)	0.25
  (52154, 0)	0.25"
52,5455825177,45393,3,"  (32638, 0)	0.08333333333333333
  (36180, 0)	0.08333333333333333
  (36477, 0)	0.125
  (52152, 0)	0.125
  (52153, 0)	0.125"
53,5455825177,45393,4,"  (32638, 0)	0.041666666666666664
  (33947, 0)	0.041666666666666664
  (38752, 0)	0.041666666666666664
  (38757, 0)	0.027777777777777776
  (38761, 0)	0.041666666666666664
  (52151, 0)	0.0625
  (52152, 0)	0.0625
  (52153, 0)	0.041666666666666664
  (52155, 0)	0.08333333333333333
  (59894, 0)	0.027777777777777776"
54,5455825177,45393,5,"  (32638, 0)	0.037037037037037035
  (33520, 0)	0.020833333333333332
  (33949, 0)	0.041666666666666664
  (33966, 0)	0.009259259259259259
  (36180, 0)	0.009259259259259259
  (36182, 0)	0.020833333333333332
  (36189, 0)	0.013888888888888888
  (38749, 0)	0.013888888888888888
  (38750, 0)	0.009259259259259259
  (38752, 0)	0.020833333333333332
  (38756, 0)	0.041666666666666664
  (38757, 0)	0.013888888888888888
  (38761, 0)	0.020833333333333332
  (45712, 0)	0.009259259259259259
  (50215, 0)	0.020833333333333332
  (52151, 0)	0.03125
  (52152, 0)	0.041666666666666664
  (52153, 0)	0.020833333333333332
  (52156, 0)	0.041666666666666664
  (52157, 0)	0.020833333333333332
  (59883, 0)	0.041666666666666664
  (59893, 0)	0.027777777777777776"
55,5038427109,44300,1,"  (44297, 0)	0.3333333333333333
  (44298, 0)	0.3333333333333333
  (44299, 0)	0.3333333333333333"
56,5038427109,44300,2,"  (38863, 0)	0.1111111111111111
  (44292, 0)	0.3333333333333333
  (44293, 0)	0.2222222222222222
  (44300, 0)	0.3333333333333333
  (57546, 0)	0.1111111111111111"
57,5038427109,44300,3,"  (38855, 0)	0.037037037037037035
  (38895, 0)	0.027777777777777776
  (44296, 0)	0.16666666666666666
  (44297, 0)	0.2222222222222222
  (44298, 0)	0.25925925925925924
  (44299, 0)	0.2962962962962963
  (48453, 0)	0.037037037037037035
  (55495, 0)	0.037037037037037035"
58,5038427109,44300,4,"  (38853, 0)	0.05555555555555555
  (38863, 0)	0.10802469135802469
  (38895, 0)	0.041666666666666664
  (38949, 0)	0.007407407407407408
  (40523, 0)	0.006944444444444444
  (44292, 0)	0.2777777777777778
  (44293, 0)	0.1728395061728395
  (44296, 0)	0.013888888888888888
  (44300, 0)	0.25925925925925924
  (48456, 0)	0.009259259259259259
  (51733, 0)	0.013888888888888888
  (51735, 0)	0.012345679012345678
  (55230, 0)	0.012345679012345678
  (55494, 0)	0.037037037037037035
  (55507, 0)	0.012345679012345678
  (57546, 0)	0.09876543209876543"
59,5038427109,44300,5,"  (38853, 0)	0.006944444444444444
  (38855, 0)	0.04259259259259259
  (38859, 0)	0.0023148148148148147
  (38863, 0)	0.013888888888888888
  (38866, 0)	0.027777777777777776
  (38882, 0)	0.0023148148148148147
  (38895, 0)	0.03568672839506173
  (38897, 0)	0.004629629629629629
  (40523, 0)	0.024305555555555552
  (44275, 0)	0.0030864197530864196
  (44296, 0)	0.15972222222222224
